;Tweet;sentimen;step01;tokens;final_tokens;step02;ProcessedText
10;RT @FiersaBesari: “Tertawa lagi, tutupi sakit. Terasa sesak hingga tangis pun meledak. Ingin teriak, ingin didengar. Namun tersadar, tiada…;0;rt user tertawa lagi tutupi sakit terasa sesak hingga tangis pun meledak ingin teriak ingin didengar namun tersadar tiada;['rt', 'user', 'tertawa', 'lagi', 'tutupi', 'sakit', 'terasa', 'sesak', 'hingga', 'tangis', 'pun', 'meledak', 'ingin', 'teriak', 'ingin', 'didengar', 'namun', 'tersadar', 'tiada'];['rt', 'user', 'tertawa', 'lagi', 'tutupi', 'sakit', 'terasa', 'sesak', 'hingga', 'tangis', 'pun', 'meledak', 'ingin', 'teriak', 'ingin', 'didengar', 'namun', 'tersadar', 'tiada'];rt user tertawa lagi tutupi sakit terasa sesak hingga tangis pun meledak ingin teriak ingin didengar namun tersadar tiada;rt user tertawa tutup sakit asa sesak hingga tangis ledak teriak dengar sadar tiada
11;terimakasih bung @FiersaBesari lagunya sgt mendeskripsikan sayaaaa 😭😭😭 https://t.co/NhfBITSyOj;0;terimakasih bung user lagunya sgt mendeskripsikan sayaaaa conhfbitsyoj;['terimakasih', 'bung', 'user', 'lagunya', 'sgt', 'mendeskripsikan', 'sayaaaa', 'conhfbitsyoj'];['terimakasih', 'bung', 'user', 'lagunya', 'sangat', 'mendeskripsikan', 'sayaaaa', 'conhfbitsyoj'];terimakasih bung user lagunya sangat mendeskripsikan sayaaaa conhfbitsyoj;terimakasih bung user lagu sangat deskripsi sayaaaa conhfbitsyoj
12;ya allah lewat beginian, bung @FiersaBesari entar pas fisteria di malang bawain nadir yaa. aku ingin menangis seban… https://t.co/gzFs6kPvio;0;ya allah lewat beginian bung user entar pas fisteria di malang bawain nadir yaa aku ingin menangis seban cogzfs6kpvio;['ya', 'allah', 'lewat', 'beginian', 'bung', 'user', 'entar', 'pas', 'fisteria', 'di', 'malang', 'bawain', 'nadir', 'yaa', 'aku', 'ingin', 'menangis', 'seban', 'cogzfs6kpvio'];['iya', 'allah', 'lewat', 'beginian', 'bung', 'user', 'entar', 'cocok', 'fisteria', 'di', 'malang', 'bawain', 'nadir', 'iya', 'aku', 'ingin', 'menangis', 'seban', 'cogzfs6kpvio'];iya allah lewat beginian bung user entar cocok fisteria di malang bawain nadir iya aku ingin menangis seban cogzfs6kpvio;iya allah lewat begini bung user entar cocok fisteria malang bawain nadir iya aku menang ban cogzfs6kpvio
13;@FiersaBesari Dih gimana dong balik nya😑;0;user dih gimana dong balik nya;['user', 'dih', 'gimana', 'dong', 'balik', 'nya'];['user', 'dih', 'bagaimana', 'dong', 'balik', 'nya'];user dih bagaimana dong balik nya;user dih bagaimana dong balik nya
14;@FiersaBesari Ingin nya tuh kalo marah ya beneran marah emosi bukan nya nangis lemah bgt sih anjirr;0;user ingin nya tuh kalo marah ya beneran marah emosi bukan nya nangis lemah bgt sih anjirr;['user', 'ingin', 'nya', 'tuh', 'kalo', 'marah', 'ya', 'beneran', 'marah', 'emosi', 'bukan', 'nya', 'nangis', 'lemah', 'bgt', 'sih', 'anjirr'];['user', 'ingin', 'nya', 'itu', 'kalau', 'marah', 'iya', 'serius', 'marah', 'emosi', 'bukan', 'nya', 'nangis', 'lemah', 'banget', 'sih', 'anjirr'];user ingin nya itu kalau marah iya serius marah emosi bukan nya nangis lemah banget sih anjirr;user nya kalau marah iya serius marah emosi bukan nya nang lemah banget sih anjirr
15;Lihat story-story Bung @FiersaBesari manggung di Kuala Lumpur, makin  bangga banget sama Bung, sukses terus kesayan… https://t.co/O8b6KOOn2H;0;lihat story story bung user manggung di kuala lumpur makin bangga banget sama bung sukses terus kesayan coo8b6koon2h;['lihat', 'story', 'story', 'bung', 'user', 'manggung', 'di', 'kuala', 'lumpur', 'makin', 'bangga', 'banget', 'sama', 'bung', 'sukses', 'terus', 'kesayan', 'coo8b6koon2h'];['lihat', 'story', 'story', 'bung', 'user', 'manggung', 'di', 'kuala', 'lumpur', 'makin', 'bangga', 'banget', 'sama', 'bung', 'sukses', 'terus', 'kesayan', 'coo8b6koon2h'];lihat story story bung user manggung di kuala lumpur makin bangga banget sama bung sukses terus kesayan coo8b6koon2h;lihat story story bung user manggung kuala lumpur makin bangga banget sama bung sukses terus kesayan coo8b6koon2h
16;My cinta videocall me while dia tengah kerja untuk layan @FiersaBesari sama-sama walaupun hanya dgn videocall but s… https://t.co/dpckQJOLJy;0;my cinta videocall me while dia tengah kerja untuk layan user sama sama walaupun hanya dgn videocall but codpckqjoljy;['my', 'cinta', 'videocall', 'me', 'while', 'dia', 'tengah', 'kerja', 'untuk', 'layan', 'user', 'sama', 'sama', 'walaupun', 'hanya', 'dgn', 'videocall', 'but', 'codpckqjoljy'];['my', 'cinta', 'videocall', 'saya', 'while', 'dia', 'tengah', 'kerja', 'untuk', 'layan', 'user', 'sama', 'sama', 'walaupun', 'hanya', 'dengan', 'videocall', 'but', 'codpckqjoljy'];my cinta videocall saya while dia tengah kerja untuk layan user sama sama walaupun hanya dengan videocall but codpckqjoljy;my cinta videocall while tengah kerja layan user sama sama walaupun dengan videocall but codpckqjoljy
17;"Baca satu satu dulu📚
@katadochi 
@FiersaBesari 
@jasonranti https://t.co/pWIOGq8ACF";0;baca satu satu dulu user user user copwiogq8acf;['baca', 'satu', 'satu', 'dulu', 'user', 'user', 'user', 'copwiogq8acf'];['baca', 'satu', 'satu', 'dulu', 'user', 'user', 'user', 'copwiogq8acf'];baca satu satu dulu user user user copwiogq8acf;baca satu satu dulu user user user copwiogq8acf
18;@FiersaBesari ikhlas itu bohong yang ada hanya terpaksa lalu terbiasa...;0;user ikhlas itu bohong yang ada hanya terpaksa lalu terbiasa;['user', 'ikhlas', 'itu', 'bohong', 'yang', 'ada', 'hanya', 'terpaksa', 'lalu', 'terbiasa'];['user', 'ikhlas', 'itu', 'bohong', 'yang', 'ada', 'hanya', 'terpaksa', 'lalu', 'terbiasa'];user ikhlas itu bohong yang ada hanya terpaksa lalu terbiasa;user ikhlas bohong ada paksa lalu biasa
19;"@FiersaBesari maaf, 
tak bisa berkata banyak
suara habis
tadi malam ku teriaki langit 
dengan namamu

— Kerei";0;user maaf tak bisa berkata banyak suara habis tadi malam ku teriaki langit dengan namamu kerei;['user', 'maaf', 'tak', 'bisa', 'berkata', 'banyak', 'suara', 'habis', 'tadi', 'malam', 'ku', 'teriaki', 'langit', 'dengan', 'namamu', 'kerei'];['user', 'maaf', 'tak', 'bisa', 'berkata', 'banyak', 'suara', 'habis', 'tadi', 'malam', 'ku', 'teriaki', 'langit', 'dengan', 'namamu', 'kerei'];user maaf tak bisa berkata banyak suara habis tadi malam ku teriaki langit dengan namamu kerei;user maaf tak kata banyak suara habis tadi malam ku riak langit nama kere
20;@FiersaBesari ingin di ungkit tapi terlalu sakit;0;user ingin di ungkit tapi terlalu sakit;['user', 'ingin', 'di', 'ungkit', 'tapi', 'terlalu', 'sakit'];['user', 'ingin', 'di', 'ungkit', 'tapi', 'terlalu', 'sakit'];user ingin di ungkit tapi terlalu sakit;user di ungkit terlalu sakit
21;@FiersaBesari tuhan: mau lu apa si nyet?;0;user tuhan mau lu apa si nyet;['user', 'tuhan', 'mau', 'lu', 'apa', 'si', 'nyet'];['user', 'tuhan', 'mau', 'kamu', 'apa', 'sih', 'nyet'];user tuhan mau kamu apa sih nyet;user tuhan mau kamu apa sih nyet
22;wishlist: nonton konser fiersa besari tp jan mahal mahal 🙏🏻 https://t.co/2DkdulWWmE;0;wishlist nonton konser fiersa besari tp jan mahal mahal co2dkdulwwme;['wishlist', 'nonton', 'konser', 'fiersa', 'besari', 'tp', 'jan', 'mahal', 'mahal', 'co2dkdulwwme'];['wishlist', 'nonton', 'konser', 'fiersa', 'besari', 'tapi', 'jan', 'mahal', 'mahal', 'co2dkdulwwme'];wishlist nonton konser fiersa besari tapi jan mahal mahal co2dkdulwwme;wishlist nonton konser fiersa besar jan mahal mahal co2dkdulwwme
23;@neptunuuusss @FiersaBesari Iyanih;0;user user iyanih;['user', 'user', 'iyanih'];['user', 'user', 'iyanih'];user user iyanih;user user iyanih
24;"@sitiistikomah__ @FiersaBesari Wah kereenn..
Di malay yak";0;user user wah kereenn di malay yak;['user', 'user', 'wah', 'kereenn', 'di', 'malay', 'yak'];['user', 'user', 'wah', 'kereenn', 'di', 'malay', 'iya'];user user wah kereenn di malay iya;user user wah kereenn malay iya
25;@starfess @FiersaBesari susah2 ngemis centang biru, sekarang disuruh bayar bung wkwk;0;user user susah2 ngemis centang biru sekarang disuruh bayar bung wkwk;['user', 'user', 'susah2', 'ngemis', 'centang', 'biru', 'sekarang', 'disuruh', 'bayar', 'bung', 'wkwk'];['user', 'user', 'susah2', 'ngemis', 'centang', 'biru', 'sekarang', 'disuruh', 'bayar', 'bung', 'wkwk'];user user susah2 ngemis centang biru sekarang disuruh bayar bung wkwk;user user susah2 ngemis centang biru sekarang suruh bayar bung wkwk
26;RT @FiersaBesari: Sampai jumpa, Kuala Lumpur ❤️ https://t.co/mAwzEzIHfv;0;rt user sampai jumpa kuala lumpur comawzezihfv;['rt', 'user', 'sampai', 'jumpa', 'kuala', 'lumpur', 'comawzezihfv'];['rt', 'user', 'sampai', 'jumpa', 'kuala', 'lumpur', 'comawzezihfv'];rt user sampai jumpa kuala lumpur comawzezihfv;rt user jumpa kuala lumpur comawzezihfv
27;RT @FiersaBesari: “Tertawa lagi, tutupi sakit. Terasa sesak hingga tangis pun meledak. Ingin teriak, ingin didengar. Namun tersadar, tiada…;0;rt user tertawa lagi tutupi sakit terasa sesak hingga tangis pun meledak ingin teriak ingin didengar namun tersadar tiada;['rt', 'user', 'tertawa', 'lagi', 'tutupi', 'sakit', 'terasa', 'sesak', 'hingga', 'tangis', 'pun', 'meledak', 'ingin', 'teriak', 'ingin', 'didengar', 'namun', 'tersadar', 'tiada'];['rt', 'user', 'tertawa', 'lagi', 'tutupi', 'sakit', 'terasa', 'sesak', 'hingga', 'tangis', 'pun', 'meledak', 'ingin', 'teriak', 'ingin', 'didengar', 'namun', 'tersadar', 'tiada'];rt user tertawa lagi tutupi sakit terasa sesak hingga tangis pun meledak ingin teriak ingin didengar namun tersadar tiada;rt user tertawa tutup sakit asa sesak hingga tangis ledak teriak dengar sadar tiada
28;"#NowPlayingOnDMSFM Garis Terdepan - @FiersaBesari 
#GITAINDAHPLUS";0;hashtag now playing on dmsfm hashtag garis terdepan user hashtag gitaindahplus hashtag;['hashtag', 'now', 'playing', 'on', 'dmsfm', 'hashtag', 'garis', 'terdepan', 'user', 'hashtag', 'gitaindahplus', 'hashtag'];['hashtag', 'now', 'playing', 'on', 'dmsfm', 'hashtag', 'garis', 'terdepan', 'user', 'hashtag', 'gitaindahplus', 'hashtag'];hashtag now playing on dmsfm hashtag garis terdepan user hashtag gitaindahplus hashtag;hashtag now playing on dmsfm hashtag garis depan user hashtag gitaindahplus hashtag
29;"RT @nurulnyung_: @FiersaBesari Tidak saling menuntut namun sama-sama mengerti kekurangan diri dan senantiasa berusaha memperbaiki.
Tidak ha…";0;rt user user tidak saling menuntut namun sama sama mengerti kekurangan diri dan senantiasa berusaha memperbaiki tidak ha;['rt', 'user', 'user', 'tidak', 'saling', 'menuntut', 'namun', 'sama', 'sama', 'mengerti', 'kekurangan', 'diri', 'dan', 'senantiasa', 'berusaha', 'memperbaiki', 'tidak', 'ha'];['rt', 'user', 'user', 'tidak', 'saling', 'menuntut', 'namun', 'sama', 'sama', 'mengerti', 'kekurangan', 'diri', 'dan', 'senantiasa', 'berusaha', 'memperbaiki', 'tidak', 'ha'];rt user user tidak saling menuntut namun sama sama mengerti kekurangan diri dan senantiasa berusaha memperbaiki tidak ha;rt user user saling tuntut sama sama erti kurang diri senantiasa usaha baik ha
30;RT @telurologist: Jumpa kawan jap @FiersaBesari kat #FiersabesariliveinKL https://t.co/jCWuenHQaS;0;rt user jumpa kawan jap user kat hashtag fiersabesarilivein kl hashtag cojcwuenhqas;['rt', 'user', 'jumpa', 'kawan', 'jap', 'user', 'kat', 'hashtag', 'fiersabesarilivein', 'kl', 'hashtag', 'cojcwuenhqas'];['rt', 'user', 'jumpa', 'kawan', 'jap', 'user', 'kat', 'hashtag', 'fiersabesarilivein', 'kalau', 'hashtag', 'cojcwuenhqas'];rt user jumpa kawan jap user kat hashtag fiersabesarilivein kalau hashtag cojcwuenhqas;rt user jumpa kawan jap user kat hashtag fiersabesarilivein kalau hashtag cojcwuenhqas
31;RT @yshqlz: Depan stage pergi sendiri. Jumpa member baru. Can’t wait @FiersaBesari  @AngkasaSpace @ELMIELMO #FiersaBesariLiveinKL https://t…;0;rt user depan stage pergi sendiri jumpa member baru can wait user user user hashtag fiersa besari livein kl hashtag https;['rt', 'user', 'depan', 'stage', 'pergi', 'sendiri', 'jumpa', 'member', 'baru', 'can', 'wait', 'user', 'user', 'user', 'hashtag', 'fiersa', 'besari', 'livein', 'kl', 'hashtag', 'https'];['rt', 'user', 'depan', 'stage', 'pergi', 'sendiri', 'jumpa', 'member', 'baru', 'can', 'wait', 'user', 'user', 'user', 'hashtag', 'fiersa', 'besari', 'livein', 'kalau', 'hashtag', 'https'];rt user depan stage pergi sendiri jumpa member baru can wait user user user hashtag fiersa besari livein kalau hashtag https;rt user depan stage pergi sendiri jumpa member baru can wait user user user hashtag fiersa besar livein kalau hashtag https
32;@FiersaBesari Aku tungguin kamu disini ya;0;user aku tungguin kamu disini ya;['user', 'aku', 'tungguin', 'kamu', 'disini', 'ya'];['user', 'aku', 'tungguin', 'kamu', 'disini', 'iya'];user aku tungguin kamu disini iya;user aku tungguin kamu sini iya
33;"RT @nazmrd: “Pasti kau temukan aku di Garis terdepan..”

@FiersaBesari @ELMIELMO #FiersaBesariLiveInKL #healingbersamabung https://t.co/1sf…";0;rt user pasti kau temukan aku di garis terdepan user user hashtag fiersa besari live in kl hashtag hashtag healing bersama bung hashtag co1sf;['rt', 'user', 'pasti', 'kau', 'temukan', 'aku', 'di', 'garis', 'terdepan', 'user', 'user', 'hashtag', 'fiersa', 'besari', 'live', 'in', 'kl', 'hashtag', 'hashtag', 'healing', 'bersama', 'bung', 'hashtag', 'co1sf'];['rt', 'user', 'pasti', 'kau', 'temukan', 'aku', 'di', 'garis', 'terdepan', 'user', 'user', 'hashtag', 'fiersa', 'besari', 'live', 'in', 'kalau', 'hashtag', 'hashtag', 'healing', 'bersama', 'bung', 'hashtag', 'co1sf'];rt user pasti kau temukan aku di garis terdepan user user hashtag fiersa besari live in kalau hashtag hashtag healing bersama bung hashtag co1sf;rt user kau temu aku garis depan user user hashtag fiersa besar live in kalau hashtag hashtag healing sama bung hashtag co1sf
34;"kadang kala tak mengapa untuk tak baik-baik saja
@FiersaBesari https://t.co/NS3kxr3epR… https://t.co/bNmXLSgIM3";0;kadang kala tak mengapa untuk tak baik baik saja user cons3kxr3epr cobnmxlsgim3;['kadang', 'kala', 'tak', 'mengapa', 'untuk', 'tak', 'baik', 'baik', 'saja', 'user', 'cons3kxr3epr', 'cobnmxlsgim3'];['kadang', 'kala', 'tak', 'mengapa', 'untuk', 'tak', 'baik', 'baik', 'saja', 'user', 'cons3kxr3epr', 'cobnmxlsgim3'];kadang kala tak mengapa untuk tak baik baik saja user cons3kxr3epr cobnmxlsgim3;kadang kala tak untuk tak baik baik user cons3kxr3epr cobnmxlsgim3
35;@FiersaBesari Sangat tidak masuk akal🙂;0;user sangat tidak masuk akal;['user', 'sangat', 'tidak', 'masuk', 'akal'];['user', 'sangat', 'tidak', 'masuk', 'akal'];user sangat tidak masuk akal;user sangat masuk akal
36;@FiersaBesari mana sih kamu? Lama bangat ni nunggunyaa 😭 #FiersaBesariLiveinKL;0;user mana sih kamu lama bangat ni nunggunyaa hashtag fiersa besari livein kl hashtag;['user', 'mana', 'sih', 'kamu', 'lama', 'bangat', 'ni', 'nunggunyaa', 'hashtag', 'fiersa', 'besari', 'livein', 'kl', 'hashtag'];['user', 'mana', 'sih', 'kamu', 'lama', 'bangat', 'ini', 'nunggunyaa', 'hashtag', 'fiersa', 'besari', 'livein', 'kalau', 'hashtag'];user mana sih kamu lama bangat ini nunggunyaa hashtag fiersa besari livein kalau hashtag;user mana sih kamu lama bangat nunggunyaa hashtag fiersa besar livein kalau hashtag
37;RT @FiersaBesari: Terima kasih karena telah berjuang sampai Semarang https://t.co/YQeMHzN8Rh;0;rt user terima kasih karena telah berjuang sampai semarang coyqemhzn8rh;['rt', 'user', 'terima', 'kasih', 'karena', 'telah', 'berjuang', 'sampai', 'semarang', 'coyqemhzn8rh'];['rt', 'user', 'terima', 'kasih', 'karena', 'telah', 'berjuang', 'sampai', 'semarang', 'coyqemhzn8rh'];rt user terima kasih karena telah berjuang sampai semarang coyqemhzn8rh;rt user terima kasih telah juang semarang coyqemhzn8rh
38;@NS_Billah @FiersaBesari @AngkasaSpace @ELMIELMO Makasih sayang 🤍;0;user user user user makasih sayang;['user', 'user', 'user', 'user', 'makasih', 'sayang'];['user', 'user', 'user', 'user', 'makasih', 'sayang'];user user user user makasih sayang;user user user user makasih sayang
39;@fannysoegi @FiersaBesari @naufalbahir Judulnya apa kak,;0;user user user judulnya apa kak;['user', 'user', 'user', 'judulnya', 'apa', 'kak'];['user', 'user', 'user', 'judulnya', 'apa', 'kak'];user user user judulnya apa kak;user user user judul apa kak
40;RT @FiersaBesari: Jepretan @i_______yan https://t.co/T36I37hIej;0;rt user jepretan user cot36i37hiej;['rt', 'user', 'jepretan', 'user', 'cot36i37hiej'];['rt', 'user', 'jepretan', 'user', 'cot36i37hiej'];rt user jepretan user cot36i37hiej;rt user jepret user cot36i37hiej
41;"RT @FiersaBesari: “Tolong keluar dari kepala, aku tak mau menjadi gila. Berpisah kita sakit, namun bersama, kita lebih terluka”
.
— Melawan…";0;rt user tolong keluar dari kepala aku tak mau menjadi gila berpisah kita sakit namun bersama kita lebih terluka melawan;['rt', 'user', 'tolong', 'keluar', 'dari', 'kepala', 'aku', 'tak', 'mau', 'menjadi', 'gila', 'berpisah', 'kita', 'sakit', 'namun', 'bersama', 'kita', 'lebih', 'terluka', 'melawan'];['rt', 'user', 'tolong', 'keluar', 'dari', 'kepala', 'aku', 'tak', 'mau', 'menjadi', 'gila', 'berpisah', 'kita', 'sakit', 'namun', 'bersama', 'kita', 'lebih', 'terluka', 'melawan'];rt user tolong keluar dari kepala aku tak mau menjadi gila berpisah kita sakit namun bersama kita lebih terluka melawan;rt user keluar kepala aku tak mau jadi gila pisah sakit sama lebih luka lawan
42;@FiersaBesari Pelan;0;user pelan;['user', 'pelan'];['user', 'pelan'];user pelan;user pelan
43;@tanyakanrl @FiersaBesari WKWKWK;0;user user wkwkwk;['user', 'user', 'wkwkwk'];['user', 'user', 'wkwkwk'];user user wkwkwk;user user wkwkwk
44;"RT @FiersaBesari: “Aku hanya seorang pengecut sedang jatuh hati, memberi perhatian tapi bukan kepastian”
.
Barusan waktu check sound, menco…";1;rt user aku hanya seorang pengecut sedang jatuh hati memberi perhatian tapi bukan kepastian barusan waktu check sound menco;['rt', 'user', 'aku', 'hanya', 'seorang', 'pengecut', 'sedang', 'jatuh', 'hati', 'memberi', 'perhatian', 'tapi', 'bukan', 'kepastian', 'barusan', 'waktu', 'check', 'sound', 'menco'];['rt', 'user', 'aku', 'hanya', 'seorang', 'pengecut', 'sedang', 'jatuh', 'hati', 'memberi', 'perhatian', 'tapi', 'bukan', 'kepastian', 'barusan', 'waktu', 'check', 'sound', 'menco'];rt user aku hanya seorang pengecut sedang jatuh hati memberi perhatian tapi bukan kepastian barusan waktu check sound menco;rt user aku orang kecut sedang jatuh hati beri perhati bukan pasti barusan waktu check sound menco
45;"RT @nurulnyung_: @FiersaBesari Tidak saling menuntut namun sama-sama mengerti kekurangan diri dan senantiasa berusaha memperbaiki.
Tidak ha…";0;rt user user tidak saling menuntut namun sama sama mengerti kekurangan diri dan senantiasa berusaha memperbaiki tidak ha;['rt', 'user', 'user', 'tidak', 'saling', 'menuntut', 'namun', 'sama', 'sama', 'mengerti', 'kekurangan', 'diri', 'dan', 'senantiasa', 'berusaha', 'memperbaiki', 'tidak', 'ha'];['rt', 'user', 'user', 'tidak', 'saling', 'menuntut', 'namun', 'sama', 'sama', 'mengerti', 'kekurangan', 'diri', 'dan', 'senantiasa', 'berusaha', 'memperbaiki', 'tidak', 'ha'];rt user user tidak saling menuntut namun sama sama mengerti kekurangan diri dan senantiasa berusaha memperbaiki tidak ha;rt user user saling tuntut sama sama erti kurang diri senantiasa usaha baik ha
46;@FiersaBesari aku sih cuma dpt jatuhnya aja g dpt kamuny;0;user aku sih cuma dpt jatuhnya aja dpt kamuny;['user', 'aku', 'sih', 'cuma', 'dpt', 'jatuhnya', 'aja', 'dpt', 'kamuny'];['user', 'aku', 'sih', 'cuma', 'dapat ', 'jatuhnya', 'saja', 'dapat ', 'kamuny'];user aku sih cuma dapat  jatuhnya saja dapat  kamuny;user aku sih cuma jatuh dapat kamuny
